Rank,Name,Team,Cl,Height,Position,G,ST,STPG
289,Frankie Collins,Arizona St.,So.,6-1,G,35,46,1.31
-,Jalen Jackson,A&M-Corpus Christi,Sr.,5-11,G,35,46,1.31
-,Rubin Jones,North Texas,Jr.,6-5,G,35,46,1.31
-,Ajay Mitchell,UC Santa Barbara,So.,6-4,G,35,46,1.31
-,Kareem Thompson,Oral Roberts,Sr.,6-5,G,35,46,1.31
294,Yuri Collins,Saint Louis,Jr.,6-0,G,32,42,1.31
-,Michael Duax,UNI,Fr.,6-6,F,32,42,1.31
-,Marcus Garrett,Bethune-Cookman,Sr.,6-2,G,32,42,1.31
-,Jonas Harper,Boston U.,Sr.,6-2,G,32,42,1.31
-,Demarius Jacobs,Ball St.,Sr.,6-2,G,32,42,1.31
-,Connor McCaffery,Iowa,Sr.,6-5,G,32,42,1.31
-,Jayden Taylor,Butler,So.,6-4,G,32,42,1.31
